"","Top Ave. (C)","Downstream Pitch Ave. (C)","Outer Ave. (C)","Lower Ave. (C)"
"3177:45:00","21.001","20.986","21.089","20.905"
"3177:46:00","21.000","20.987","21.091","20.905"
"3177:47:00","21.001","20.989","21.094","20.906"
"3177:48:00","21.001","20.988","21.091","20.904"
"3177:49:00","21.002","20.991","21.094","20.905"
"3177:50:00","21.001","20.990","21.091","20.909"
"3177:51:00","21.000","20.992","21.091","20.909"
"3177:52:00","21.003","20.992","21.093","20.911"
"3177:53:00","21.003","20.994","21.094","20.912"
"3177:54:00","21.004","20.995","21.099","20.915"
"3177:55:00","21.005","20.995","21.101","20.918"
"3177:56:00","21.006","20.996","21.100","20.919"
"3177:57:00","21.005","20.997","21.096","20.918"
"3177:58:00","21.003","20.997","21.093","20.916"
"3177:59:00","21.005","20.996","21.093","20.914"
"3178:00:00","21.008","20.995","21.094","20.913"
"3178:01:00","21.008","20.995","21.095","20.913"
"3178:02:00","21.007","20.999","21.099","20.915"
"3178:03:00","21.009","20.999","21.098","20.918"
"3178:04:00","21.011","21.000","21.098","20.917"
"3178:05:00","21.009","21.000","21.098","20.917"
"3178:05:00","21.009","21.000","21.098","20.917"
"3178:06:00","21.011","21.000","21.100","20.919"
"3178:07:00","21.011","21.003","21.101","20.919"
"3178:08:00","21.012","21.003","21.102","20.922"
"3178:09:00","21.012","21.003","21.101","20.921"
"3178:10:00","21.011","21.004","21.102","20.921"
"3178:11:00","21.013","21.004","21.105","20.920"
"3178:12:00","21.013","21.006","21.105","20.922"
"3178:13:00","21.015","21.006","21.108","20.924"
"3178:14:00","21.015","21.006","21.107","20.926"
"3178:15:00","21.015","21.008","21.108","20.927"
"3178:16:00","21.014","21.007","21.109","20.928"
"3178:17:00","21.016","21.008","21.109","20.926"
"3178:18:00","21.016","21.008","21.108","20.925"
"3178:19:00","21.015","21.007","21.106","20.924"
"3178:20:00","21.015","21.007","21.107","20.922"
"3178:21:00","21.017","21.009","21.107","20.921"
"3178:22:00","21.018","21.011","21.108","20.923"
"3178:23:00","21.019","21.010","21.108","20.924"
"3178:24:00","21.016","21.011","21.106","20.922"
"3178:25:00","21.017","21.011","21.109","20.924"
"3178:25:00","21.017","21.011","21.109","20.924"
"3178:26:00","21.019","21.012","21.111","20.923"
"3178:27:00","21.021","21.012","21.111","20.922"
"3178:28:00","21.022","21.011","21.110","20.925"
"3178:29:00","21.022","21.014","21.112","20.927"
"3178:30:00","21.021","21.013","21.113","20.929"
"3178:31:00","21.022","21.014","21.113","20.930"
"3178:32:00","21.022","21.014","21.111","20.929"
"3178:33:00","21.022","21.015","21.109","20.928"
"3178:34:00","21.022","21.014","21.111","20.928"
"3178:35:00","21.023","21.016","21.115","20.930"
"3178:36:00","21.023","21.017","21.116","20.931"
"3178:37:00","21.024","21.018","21.117","20.931"
"3178:38:00","21.026","21.016","21.116","20.931"
"3178:39:00","21.023","21.015","21.117","20.931"
"3178:40:00","21.025","21.017","21.115","20.931"
"3178:41:00","21.024","21.018","21.120","20.934"
"3178:42:00","21.027","21.019","21.120","20.933"
"3178:43:00","21.027","21.021","21.121","20.933"
"3178:44:00","21.026","21.022","21.120","20.935"
"3178:45:00","21.029","21.022","21.121","20.939"
"3178:45:00","21.029","21.022","21.121","20.939"
"3178:46:00","21.029","21.024","21.123","20.940"
"3178:47:00","21.029","21.024","21.124","20.940"
"3178:48:00","21.030","21.024","21.124","20.936"
"3178:49:00","21.030","21.024","21.124","20.938"
"3178:50:00","21.031","21.025","21.119","20.937"
"3178:51:00","21.028","21.026","21.120","20.935"
"3178:52:00","21.029","21.025","21.122","20.936"
"3178:53:00","21.029","21.025","21.122","20.937"
"3178:54:00","21.030","21.027","21.126","20.939"
"3178:55:00","21.034","21.026","21.128","20.940"
"3178:56:00","21.034","21.027","21.125","20.941"
