Gap	Fundamental hv
18.0	10.30
19.0	13.24
20.0	11.90
21.0	12.82
22.0	13.81
23.0	14.84
24.0	15.96
25.0	17.15
26.0	18.43
27.0	19.81
28.0	21.29
29.0	22.87
30.0	24.55
31.0	26.35
32.0	28.26
33.0	30.31
34.0	32.48
35.0	34.79
36.0	37.23
37.0	39.82
38.0	42.56
39.0	45.44
40.0	48.47
41.0	51.67
42.0	55.01
43.0	58.55
44.0	62.18
45.0	65.98
46.0	69.92
47.0	74.01
48.0	78.26
49.0	82.62
50.0	87.12
51.0	91.68
52.0	96.36
53.0	101.16
54.0	106.04
55.0	110.91
56.0	115.91
57.0	120.86
58.0	125.92
59.0	130.94
60.0	135.92
61.0	140.86
62.0	145.77
63.0	150.59
64.0	155.36
65.0	160.07
66.0	164.56
66.0	164.58
67.0	169.06
68.0	173.37
69.0	177.61
70.0	181.60
71.0	185.57
72.0	189.34
73.0	192.93
74.0	196.39
75.0	199.65
76.0	202.96
77.0	205.79
78.0	208.65
79.0	211.35
80.0	213.89
81.0	216.31
82.0	218.55
83.0	220.65
84.0	222.70
85.0	224.55
86.0	226.30
87.0	228.18
88.0	229.51
89.0	231.37
90.0	232.31
100.0	242
