hv	efficiency
30.136	0.173063
31.4256	0.18841
34.0299	0.200103
36.8499	0.216182
39.2405	0.224951
42.1377	0.233721
44.8713	0.246876
47.3834	0.257839
51.0955	0.266609
55.5622	0.275379
59.9151	0.292918
63.2694	0.308997
66.5321	0.323613
69.9631	0.334576
75.761	0.344076
79.668	0.354308
84.1282	0.357962
86.9962	0.368924
91.4825	0.382079
96.2001	0.393773
102.441	0.40035
110.004	0.404735
118.126	0.401812
126.848	0.395965
135.644	0.388657
142.043	0.376964
147.502	0.360155
152.53	0.344807
158.392	0.327267
162.425	0.310458
167.962	0.286341
172.962	0.261493
178.858	0.237376
184.956	0.213258
192.871	0.189872
205.382	0.1621
219.624	0.142368
238.823	0.12629
267.431	0.112404
296.967	0.102172
346.769	0.0875559
396.529	0.0751318
491.005	0.0619769
597.885	0.0495529
724.986	0.0422446
879.106	0.0400521
1001.05	0.0385905
