                                  HTYEnergy	QuantumEfficiency
1240	335.14
1042.02	281.63
898.55	242.85
789.81	213.46
704.55	190.42
635.9	171.86
579.44	156.61
532.19	143.83
492.06	132.99
457.56	123.67
427.59	115.56
401.29	108.46
378.05	102.18
357.35	96.58
338.8	91.57
322.08	87.05
306.93	82.95
293.14	79.23
280.54	75.82
268.98	72.7
258.33	69.82
248	63.71
233.96	59.12
213.79	51.33
196.83	44.82
182.35	38.93
169.86	33.31
158.97	32.32
149.4	32.34
137.78	31.54
130.53	29.7
124	29.19
116.98	27.53
106.9	25.73
98.41	25.65
91.18	23.53
84.93	21.04
79.49	19.18
74.7	17.82
70.86	17
67.03	15.87
63.59	14.76
60.49	13.84
57.67	13.08
55.11	12.39
52.77	11.85
50.61	11.25
48.63	12.04
45.93	10.36
42.76	9.21
40	9.67
37.58	9.3
35.43	7.54
33.51	7.11
31.79	6.64
30.24	6.13
28.84	5.69
27.56	5.3
26.38	4.94
25.31	4.57
23.89	4.02
23.09	3.73
22.3	3.57
21.23	3.19
20.7	3.05
19.94	2.77
19.41	2.61
18.87	2.46
18.54	2.33
18.16	2.21
17.74	2.15
17.42	2.01
16.87	1.81
16.49	1.68
16.08	1.59
15.5	1.49
15.16	1.41
14.69	1.33
14.34	1.28
14	1.23
13.48	1.18
10.65	1.2
10.51	1.18
10.2	1.19
9.89	1.21
9.16	1.22
8.84	1.22
8.61	1.24
8.34	1.21
8.03	1.2
7.71	1.12
7.52	1.03
7.29	0.906
7.09	0.83
6.8	0.745
6.6	0.691
6.4	0.655
6.2	0.61
6	0.575
5.8	0.541
5.6	0.506
5.4	0.498
5.2	0.496
5.17	0.497
5.06	0.467
4.96	0.433
4.86	0.4
4.77	0.37
4.68	0.343
4.59	0.321
4.51	0.314
4.43	0.321
4.35	0.337
4.28	0.359
4.2	0.39
4.13	0.415
4.07	0.433
4	0.443
3.94	0.451
3.88	0.456
3.82	0.459
3.76	0.461
3.7	0.46
3.65	0.46
3.59	0.458
3.54	0.456
3.49	0.445
3.44	0.436
3.4	0.43
3.35	0.432
3.31	0.445
3.26	0.462
3.22	0.481
3.18	0.496
3.14	0.51
3.1	0.522
3.02	0.542
2.95	0.557
2.88	0.571
2.82	0.582
2.76	0.592
2.7	0.6
2.64	0.608
2.58	0.614
2.53	0.619
2.48	0.625
2.43	0.629
2.38	0.634
2.34	0.642
2.3	0.646
2.25	0.649
2.21	0.652
2.18	0.655
2.14	0.657
2.1	0.659
2.07	0.662
2.03	0.663
2	0.665
1.97	0.667
1.94	0.668
1.91	0.669
1.88	0.671
1.85	0.667
1.82	0.669
1.8	0.67
1.77	0.671
1.75	0.672
1.72	0.673
1.7	0.674
1.68	0.675
1.65	0.675
1.63	0.676
1.61	0.676
1.59	0.675
1.57	0.674
1.55	0.673
1.53	0.67
1.51	0.665
1.49	0.659
1.48	0.65
1.46	0.639
1.44	0.626
1.43	0.611
1.41	0.592
1.39	0.571
1.38	0.547
1.36	0.519
1.35	0.489
1.33	0.456
1.32	0.421
1.31	0.385
1.29	0.348
1.28	0.31
1.27	0.273
1.25	0.236
1.24	0.201
1.23	0.167
1.22	0.135
1.2	0.106
1.19	0.081
1.18	0.06
1.17	0.043
1.16	0.032
1.15	0.024
1.14	0.019
1.13	0.014
