gap	firstHarmonic	flux
20	11.78	1.43665e+11
21	12.68	1.97676e+11
22	13.63	2.8518e+11
23	14.66	3.70085e+11
24	15.76	5.26931e+11
25	16.95	6.72887e+11
26	18.21	8.59246e+11
27	19.57	1.10738e+12
28	21.01	1.37297e+12
29	22.56	1.66659e+12
30	24.2	1.95347e+12
31	25.98	2.162e+12
32	27.88	2.39347e+12
33	29.89	2.61939e+12
34	32.02	2.78053e+12
35	34.3	2.97365e+12
36	36.7	2.92918e+12
38	41.93	3.69184e+12
40	47.73	4.05325e+12
44	61.26	5.62427e+12
46	68.97	6.33651e+12
48	77.25	7.40469e+12
50	86.07	8.12138e+12
52	95.31	8.66477e+12
54	104.94	9.20308e+12
56	114.72	9.14469e+12
58	124.6	9.21994e+12
60	134.76	8.75753e+12
62	144.63	8.92255e+12
64	154.1	8.83849e+12
66	163.6	8.2313e+12
68	172	6.12364e+12
70	180.27	5.5683e+12
72	187.87	4.45654e+12
74	195.04	3.58201e+12
76	201.6	2.93805e+12
78	207.43	2.47245e+12
