hv	M1 pitch
10.2	-1901.9
10.9	-1910.8
11.8	-1888.5
12.7	-1882.8
13.6	-1864.9
14.6	-1853.5
15.7	-1850.0
16.9	-1847.6
18.1	-1844.7
19.5	-1842.7
21.0	-1840.1
22.5	-1838.6
24.2	-1836.5
25.9	-1835.6
27.8	-1833.7
29.7	-1832.8
31.9	-1830.9
34.1	-1830.1
36.5	-1828.4
39.1	-1827.6
41.8	-1826.2
44.6	-1825.9
47.6	-1824.5
50.7	-1824.3
54.0	-1823.1
57.5	-1823.8
61.2	-1822.1
65.0	-1821.8
68.8	-1821.6
72.9	-1822.0
77.1	-1821.0
81.5	-1820.4
86.2	-1820.3
90.4	-1819.8
94.9	-1819.6
99.8	-1819.3
104.6	-1818.6
109.7	-1819.5
114.3	-1818.0
119.0	-1818.4
124.5	-1817.7
129.4	-1818.2
134.3	-1817.0
139.5	-1817.6
144.0	-1816.8
149.1	-1817.1
153.8	-1816.4
158.8	-1816.8
163.2	-1816.2
167.6	-1816.5
171.9	-1815.9
176.4	-1816.3
180.2	-1815.7
184.1	-1816.1
187.7	-1815.4
191.7	-1815.8
195.2	-1815.2
198.0	-1815.6
201.5	-1814.9
204.5	-1815.3
207.3	-1815.4
210.0	-1815.8
212.5	-1814.8
215.3	-1815.3
217.1	-1814.6
219.2	-1815.3
221.2	-1815.3
223.1	-1815.0
224.8	-1814.9
226.4	-1815.3
227.9	-1814.8
229.9	-1815.7
230.6	-1814.6
