flux	hv
2.1448e+12	10.0651
2.66688e+12	11.9967
3.31619e+12	14.2433
3.91673e+12	16.5193
4.68688e+12	18.9361
5.46796e+12	20.7948
6.54522e+12	23.195
7.63599e+12	25.4716
9.14037e+12	28.4116
1.05266e+13	31.2003
1.18129e+13	34.3966
1.27535e+13	37.4791
1.3947e+13	41.1578
1.42937e+13	46.0878
1.48458e+13	49.8278
1.44549e+13	53.4525
1.40684e+13	59.3901
1.53857e+13	64.9654
1.68294e+13	69.9638
1.74692e+13	79.5764
1.81373e+13	88.7614
1.76517e+13	99.0065
1.83293e+13	109.149
2.05737e+13	118.007
2.25022e+13	128.081
2.19086e+13	137.936
1.73459e+13	146.248
1.37365e+13	152.067
1.04632e+13	159.355
6.6494e+12	167.645
4.22552e+12	177.056
2.54911e+12	191.424
1.68361e+12	206.152
1.24961e+12	216.877
9.76602e+11	230.846
9.1444e+11	253.504
7.62169e+11	277.302
5.65517e+11	299.804
4.30562e+11	326.672
3.11283e+11	355.948
2.10952e+11	387.847
1.66974e+11	420.959
1.50395e+11	462.277
1.40866e+11	493.975
1.37194e+11	517.65
1.50149e+11	531.981
1.40675e+11	555.307
1.28415e+11	586.48
1.14229e+11	619.403
8.58832e+10	654.173
6.62725e+10	682.857
5.59789e+10	721.19
4.91508e+10	767.641
3.6474e+10	820.278
2.50444e+10	879.95
1.69792e+10	925.728
1.05143e+10	977.695
