EPU gap (mm)	Fundamental position (eV)
14.0	10
15.0	13.46
16.0	15.23
17.0	17.18
18.0	19.30
19.0	21.65
20.0	24.21
21.0	27.02
22.0	30.10
23.0	33.41
24.0	37.01
25.0	40.89
26.0	45.08
27.0	49.55
28.0	54.31
29.0	59.36
30.0	64.68
31.0	70.29
32.0	76.13
33.0	82.22
34.0	88.51
35.0	94.95
36.0	101.56
37.0	108.32
38.0	115.09
39.0	121.90
40.0	128.72
41.0	135.47
42.0	142.14
43.0	148.71
44.0	155.12
45.0	161.34
46.0	167.32
47.0	173.11
48.0	178.61
49.0	183.89
50.0	188.91
51.0	193.66
52.0	198.13
53.0	202.32
54.0	206.27
55.0	209.93
56.0	213.33
57.0	216.50
58.0	219.46
59.0	222.20
60.0	224.71
