Photon energy	M1Pitch
10.2	-1830
11.1	-1838.0
11.9	-1849.5
12.8	-1855.7
13.8	-1859.0
14.8	-1849.6
15.9	-1847.8
17.1	-1845.3
18.4	-1844.2
19.8	-1842.5
21.3	-1841.5
22.9	-1839.7
24.6	-1839.0
26.4	-1837.4
28.3	-1839.4
30.3	-1837.8
32.5	-1837.4
34.8	-1835.6
37.3	-1835.0
39.8	-1833.5
42.6	-1833.1
45.5	-1831.8
48.5	-1831.5
51.7	-1830.7
55.0	-1830.3
58.5	-1828.8
62.2	-1828.5
65.9	-1827.4
69.9	-1827.2
74.0	-1826.0
78.2	-1826.0
82.6	-1824.6
87.1	-1824.9
91.7	-1822.3
96.4	-1822.5
101.2	-1820.9
106.0	-1820.7
110.9	-1820.0
115.8	-1819.0
120.8	-1818.4
125.8	-1818.7
130.8	-1816.9
135.8	-1817.9
140.7	-1817.0
145.6	-1815.7
150.4	-1815.3
155.2	-1815.5
159.8	-1814.9
164.3	-1814.0
168.7	-1813.5
173.0	-1813.9
177.2	-1813.4
181.4	-1813.8
185.3	-1811.8
189.0	-1812.3
192.7	-1811.8
196.1	-1812.9
199.4	-1811.8
202.5	-1812.2
205.5	-1812.0
208.3	-1810.7
211.0	-1810.1
213.5	-1810.7
215.9	-1810.2
218.1	-1810.7
220.3	-1810.2
222.3	-1810.7
224.2	-1810.2
225.9	-1810.7
228.0	-1810.2
230.0	-1810.7
232.0	-1811	
234.0	-1811
236.0	-1811
1000	-1811
